block_type,quest,perf,n,rho,p,p_bonf
full_sentence,BAIS_V,d_prime,26,0.27432875168982424,0.17503557627177363,1.0
full_sentence,BAIS_V,cos_ci_true,26,0.22028393527212825,0.279544812874091,1.0
full_sentence,BAIS_V,cos_w_true,26,-0.026338296608624027,0.8983734927693566,1.0
full_sentence,BAIS_V,beta_truetarget,26,0.2801437002917283,0.1657025536158167,1.0
full_sentence,BAIS_V,accuracy,26,0.2778853623395072,0.16928463485046538,1.0
full_sentence,BAIS_V,hit_rate,26,0.28067195664553635,0.16487241587102394,1.0
full_sentence,BAIS_V,fa_rate,26,-0.14706387832569354,0.47342712672807075,1.0
full_sentence,BAIS_V,criterion,26,-0.08927656382923209,0.664504565427026,1.0
full_sentence,BAIS_C,d_prime,26,0.2935341090812303,0.14555563327423393,1.0
full_sentence,BAIS_C,cos_ci_true,26,0.2856654791175143,0.15716966304282098,1.0
full_sentence,BAIS_C,cos_w_true,26,-0.03694834939484018,0.8577842614463876,1.0
full_sentence,BAIS_C,beta_truetarget,26,0.2976394812362126,0.13974643282697174,1.0
full_sentence,BAIS_C,accuracy,26,0.31127800082642076,0.1216471598885854,1.0
full_sentence,BAIS_C,hit_rate,26,0.40222822431475813,0.04164435532318398,1.0
full_sentence,BAIS_C,fa_rate,26,-0.029280823634876645,0.8870873863450944,1.0
full_sentence,BAIS_C,criterion,26,-0.24255907149020078,0.23251042702539537,1.0
full_sentence,VHQ,d_prime,26,0.15540164019298436,0.4484221334051048,1.0
full_sentence,VHQ,cos_ci_true,26,0.17177804622228987,0.4014214979938384,1.0
full_sentence,VHQ,cos_w_true,26,-0.018815445225159544,0.9273100998393041,1.0
full_sentence,VHQ,beta_truetarget,26,0.1432064442137143,0.4852334428082385,1.0
full_sentence,VHQ,accuracy,26,0.1305925069433153,0.5248568460658067,1.0
full_sentence,VHQ,hit_rate,26,0.010647281598204276,0.9588299562259115,1.0
full_sentence,VHQ,fa_rate,26,-0.09242990383824877,0.6533694659632324,1.0
full_sentence,VHQ,criterion,26,0.02508726030021272,0.9031778233704164,1.0
full_sentence,TAS,d_prime,26,0.07260284616441197,0.7244918269297197,1.0
full_sentence,TAS,cos_ci_true,26,0.07500010995285952,0.7157591829296327,1.0
full_sentence,TAS,cos_w_true,26,-0.06335625726611423,0.7584814053535008,1.0
